item,path,parent,train_freq,beam_count,lp0,lp_last,lp_last_parent_centered,exposure_amplification
B002QFN6T4,467 20225 3169 3903 3964,467 20225 3169 3903,8,18,-20.896713256835938,-15.807838439941406,0.0,-1.203023785437976
B002QJXV86,3127 4223 16497 20692 8002,3127 4223 16497 20692,4,56,-21.781482696533203,-19.024444580078125,0.0,0.549434887350138
B002QN8CP4,2100 1073 23856 11916 13814,2100 1073 23856 11916,4,6,-21.095027923583984,-16.4079647064209,0.0,-1.6130035739006665
B002QNM8NQ,14527 3822 19479 3582 3422,14527 3822 19479 3582,80,916,-20.889965057373047,-19.53900718688965,0.0,0.4515765288292597
B002QSA3TC,2948 1312 9455 2689 1588,2948 1312 9455 2689,8,8,-21.892650604248047,-18.321434020996094,0.0,-1.9807283540259828
B002QYNIHU,1041 22713 2729 9352 5605,1041 22713 2729 9352,9,32,-26.578044891357422,-27.09209632873535,0.0,-0.7507800632967854
B002QZ5E12,2412 11991 21097 5040 24989 536,2412 11991 21097 5040 24989,6,154,-23.7922420501709,-13.194657325744629,0.044091224670410156,1.187663565410224
B002R1ZYEM,2100 15721 26142 9999 2397,2100 15721 26142 9999,6,0,-23.80927848815918,-16.4984130859375,0.0,-4.545677711487521
B002R6A4KQ,740 5748 457 1161 6013,740 5748 457 1161,10,5,-20.678600311279297,-16.621562957763672,0.0,-2.6273555189510365
B002R7IK74,2100 13944 19790 3691 20407,2100 13944 19790 3691,25,175,-22.15749168395996,-23.081750869750977,0.0,-0.051767763284443546
B002RBRCQ0,21677 6182 20618 9158 1710,21677 6182 20618 9158,3,15,-23.201984405517578,-19.86891746520996,0.0,-0.4926512985961491
B002RBWKOO,14295 5807 12563 1489 2195,14295 5807 12563 1489,3,25,-21.511322021484375,-16.959957122802734,5.913476943969727,0.00518712964302992
B002RCCC4Q,14295 5807 12563 1489 1791 755,14295 5807 12563 1489 1791,3,62,-21.338529586791992,-16.240785598754883,-1.3594484329223633,0.9016752342210044
B002RCDVW8,14295 5807 12563 1489 1791 591,14295 5807 12563 1489 1791,5,148,-21.149995803833008,-15.10959243774414,-0.2282552719116211,1.3151085119783463
B002RG3HEG,3127 2917 18058 765 6374,3127 2917 18058 765,5,15,-20.016525268554688,-14.211045265197754,0.0,-0.9446364223392063
B002RL7VN4,740 7379 146 4265 2302,740 7379 146 4265,11,219,-17.774059295654297,-14.376090049743652,0.0,0.968276843120039
B002RL7VNO,740 7379 146 22823 6897,740 7379 146 22823,38,791,-19.1152400970459,-19.61273956298828,0.0,1.0425432840013453
B002RL7VNY,740 90 3829 8637 24246,740 90 3829 8637,71,1870,-21.52979278564453,-19.706077575683594,0.0,1.2835352500622559
B002RL7VOI,740 90 3078 690 26793,740 90 3078 690,5,2,-20.96149253845215,-24.049617767333984,0.0,-2.769185714390252
B002RL7VOS,740 690 3767 17721 2805,740 690 3767 17721,5,34,-23.05483627319336,-18.583892822265625,0.0,-0.14451712222709467
B002RL7VPC,740 690 2096 3598 8348,740 690 2096 3598,4,37,-22.43535804748535,-18.661636352539062,0.0,0.13953518217410732
B002RL7VPM,740 690 1472 13012 6957,740 690 1472 13012,6,19,-24.15995979309082,-26.380455017089844,0.0,-0.8821160653578737
B002RL7VPW,740 690 1472 4383 26401,740 690 1472 4383,4,23,-22.936050415039062,-23.02381134033203,0.0,-0.3278053296521435
