dataset,sample_key,prefix,legal_children,teacher_mass_error
Beauty,AL4SB31UAZLXL:8:B00F4W22Z0,0,108,1.1920928955078125e-07
Beauty,ALNFHVS3SC4FV:133:B003U4LI7W,0 2565,83,0.0
Beauty,ALNFHVS3SC4FV:145:B00AILKE6G,0,108,0.0
Beauty,ALUAEARQDJYLX:2:B003SOO86M,0 23159,133,0.0
Beauty,AM1RY9QMBR9BJ:2:B005BF1M10,0 768,82,0.0
Beauty,AMCAID3LTHKEC:10:B006L6AA8Y,0,108,0.0
Beauty,ANZLG5S16TW1R:3:B001MA0QY2,0 14143,83,0.0
Beauty,AO16D5VV91API:6:B004DIXYUI,0,108,1.1920928955078125e-07
Beauty,AO2BSY9E345DZ:1:B0006SFXXK,0,108,0.0
Beauty,AOABTTKJOG22O:2:B00AF9D4JK,0 3690,4,0.0
Beauty,AP8D74QD9LUUL:11:B007RTR8UW,0,108,0.0
Beauty,APSX5JHHXHIPJ:1:B00JJVG6HC,0 26570,53,0.0
Beauty,APYKGTU0LFICH:22:B00634TJ7M,0,108,0.0
Beauty,APYKGTU0LFICH:74:B00027CGWQ,0,108,5.960464477539063e-08
Beauty,AQ921JVCN65RQ:2:B000F6RFX4,0 16875,41,0.0
Beauty,ARARUVZ8RUF5T:9:B00AE07CRA,0 11477,255,0.0
Beauty,ASQ26HZA431ER:7:B001P24VEI,0 768 11604 12927,2,0.0
Beauty,AT53ZTTO707MB:23:B00F5KDVDS,0,108,5.960464477539063e-08
Beauty,AT7YWFYN4BUWB:1:B003OGQYC0,0,108,0.0
Beauty,AU0TB11NTQOVA:5:B003V264WW,0,108,5.960464477539063e-08
Beauty,AU0TB11NTQOVA:8:B005HIH7YM,0 20725,104,0.0
Beauty,AUCZ5YT896OHV:1:B00614Q4C2,0 887,112,0.0
Beauty,AUE4N4XKQO2HV:3:B006OSZ00C,0,108,0.0
Beauty,AUHY68RD4GQWZ:3:B00203KPDC,0 18311,118,0.0
Beauty,AUOUW90OCT1NP:1:B007BLN17K,0,108,5.960464477539063e-08
Beauty,AUTGTAQITSSIA:2:B000P6BRHY,0 6453 22204,4,0.0
Beauty,AV2JR4DFN550Z:8:B002AQX3NS,0 30551,102,0.0
Beauty,AW5RBU9JDDS23:2:B0055MYJ0U,0,108,0.0
Beauty,AWIF8AR75LL9L:21:B009OY8GK4,0,108,1.1920928955078125e-07
Beauty,AWWQ4SBK1VKQ9:3:B007ZBCVWC,0 887,112,0.0
Beauty,AXKYV5H8BP3P7:2:B004OHQR1Q,0,108,0.0
Beauty,AXO4PQU0XG3TG:3:B009FKNGGQ,0,108,5.960464477539063e-08
Beauty,AY6A8KPYCE6B0:14:B008U2Y9BQ,0,108,0.0
Beauty,AYQKHM8O1G630:5:B000VEPHYY,0,108,0.0
Beauty,AZ0PCEZUTF5QO:2:B009GEUPXI,0,108,5.960464477539063e-08
Beauty,AZTYMMD36CXY2:2:B004XA81OU,0 20725,104,5.960464477539063e-08
