item,path,parent,train_freq,beam_count,lp0,lp_last,lp_last_parent_centered,exposure_amplification
B00385WMI2,26190 24428 8805 16753 7695 6797 836,26190 24428 8805 16753 7695 6797,17,38,-21.8846435546875,-14.748456001281738,0.0,-1.1622811830904407
B00385WMIC,26190 8805 16753 7695 8481 6797 836,26190 8805 16753 7695 8481 6797,15,200,-20.895715713500977,-15.561233520507812,0.0,0.6092356793667104
B00385WMIM,26190 5436 8805 1370 16753 2898 6797 632,26190 5436 8805 1370 16753 2898 6797,6,59,-18.63106918334961,-12.378801345825195,0.4586520195007324,0.26343559219528245
B00385WMJ6,26190 5436 8805 1370 16753 2898 6797 536,26190 5436 8805 1370 16753 2898 6797,12,73,-18.745731353759766,-13.29610538482666,-0.4586520195007324,-0.17918178154417674
B00385WMJQ,26190 5436 8805 8082 1370 16753 2898,26190 5436 8805 8082 1370 16753,10,6,-20.290536880493164,-13.971275329589844,0.0,-2.430311623716598
B00385WMK0,1678 2478 6928 9782 15487 6991 17835,1678 2478 6928 9782 15487 6991,9,3,-26.631608963012695,-29.60477066040039,0.0,-2.9492673735658386
B00385WMKA,945 9782 19465 26139 22308 9910 13682,945 9782 19465 26139 22308 9910,3,2,-24.676082611083984,-16.88868522644043,0.0,-2.287210780075924
B00387F41M,1580 7818 23306 7903 9743 565 4293,1580 7818 23306 7903 9743 565,57,222,-17.743383407592773,-16.92061424255371,0.0,-0.5975963896517209
B00387F41W,19041 4059 3896 7818 23306 706 565,19041 4059 3896 7818 23306 706,5,3,-18.774057388305664,-18.375343322753906,0.0,-2.402723667197769
B00387F426,19041 7818 1659 3893 4301 9932 604,19041 7818 1659 3893 4301 9932,29,288,-21.976333618164062,-12.59244155883789,0.0,0.32956627914766834
B00387F42G,19041 7818 4642 15596 1659 1274 4301,19041 7818 4642 15596 1659 1274,24,231,-17.82839584350586,-14.947277069091797,0.0,0.2951682125208954
B00387F42Q,19041 7818 14 24706 3852 662 5171,19041 7818 14 24706 3852 662,18,69,-24.325759887695312,-26.046884536743164,0.0,-0.6271825229682442
B0038B9AJU,3361 5304 6033 11719 3471 15892 25198,3361 5304 6033 11719 3471 15892,3,8,-22.817171096801758,-25.686037063598633,0.0,-1.0634353484538082
B0038B9ALI,3361 5304 19691 11719 5163 3471 926,3361 5304 19691 11719 5163 3471,21,90,-22.007068634033203,-13.70905590057373,0.0,-0.5134416278824485
B0038IA8XA,11477 1240 285 3113 15262 16178 348,11477 1240 285 3113 15262 16178,0,11,-20.10085678100586,-13.205609321594238,0.0,1.184755672474438
B0038LLOV2,26190 24344 2293 3865 20609 836 9135,26190 24344 2293 3865 20609 836,5,20,-19.742446899414062,-19.191936492919922,0.0,-0.6350617495487736
B0038NX4AY,4216 3920 1549 1586 18156 29072 10391,4216 3920 1549 1586 18156 29072,16,50,-23.932743072509766,-18.47652244567871,0.0,-0.832125588079931
B0038O0YEC,8552 12970 23762 23834 3435 607 4997,8552 12970 23762 23834 3435 607,4,24,-20.7218017578125,-18.804946899414062,0.0,-0.25614282268030486
B0038OEELG,18322 9052 3055 17168 4622 5016 1119,18322 9052 3055 17168 4622 5016,4,17,-23.063261032104492,-20.607925415039062,0.0,-0.5926150593015169
B0038QLU66,1268 2878 17591 12129 858 22174 3747,1268 2878 17591 12129 858 22174,16,30,-20.544164657592773,-17.425289154052734,0.0,-1.3363722407478793
B0038QQ7OQ,10758 1871 2565 3547 447 609 6947,10758 1871 2565 3547 447 609,34,245,-19.9821720123291,-19.867700576782227,0.0,0.0115990797425507
B0038RFM32,17236 5260 20272 24212 8632 4884 17287,17236 5260 20272 24212 8632 4884,6,58,-20.6700382232666,-25.74363899230957,0.0,0.24648603388150825
B0038T17WK,19041 7668 6948 9996 26367 2534 3449,19041 7668 6948 9996 26367 2534,38,97,-21.486356735229492,-19.346006393432617,0.0,-1.021544406744649
B0038T227O,643 13776 14279 4880 3591 19561 19124,643 13776 14279 4880 3591 19561,5,11,-24.106159210205078,-21.98451805114746,0.0,-1.2131396003239328
B0038TN5KW,1453 8887 3005 11933 25317 10503 19234,1453 8887 3005 11933 25317 10503,4,4,-24.303497314453125,-20.85663604736328,0.0,-1.9507385434547118
B0038TVH34,4194 17591 5902 255 16661 2693 3769,4194 17591 5902 255 16661 2693,6,0,-19.821245193481445,-15.58881664276123,0.0,-4.515687900916248
